undermind_id,Topic Match Score,Title,Year,Date,Authors,Abstract,Journal,Citation Count,Citation Velocity,DOI,Link,External IDs,Is Open Access,Open Access Link,Semantic Scholar ID,Relevance Summary
33,0.8,Identity crime and misuse in Australia: Results of the 2021 online survey,2021,14/12/2021,"Merran McAlister, C. Franks","This bulletin presents the findings of the latest survey of identity crime and misuse undertaken by the Australian Institute of Criminology as part of the Australian Government’s National Identity Security Strategy. In 2021, 9,956 people across Australia were surveyed about their experience of victimisation over their lifetime and during 2020. Nineteen percent of respondents had experienced misuse of their personal information in their lifetime and seven percent experienced it in the past year—a decline from 2019. Seventy-eight percent of respondents who reported victimisation in the past year experienced a financial loss as a result.",Journal Not Provided,1,0.3,10.52922/sb78467,https://doi.org/10.52922/sb78467,,FALSE,,dbec7bfee714b920da2eb29881d888b59c1dad58,
34,0.7,A survey of cyber crimes,2012,01/04/2012,"Yanping Zhang, Yang Xiao, K. Ghaboosi, Jingyuan Zhang, Hongmei Deng","With the advancement of computer and information technology, cyber crime is now becoming one of the most significant challenges facing law enforcement organizations. Cyber crimes are generally referred as criminal activities that use computers or networks. An understanding of the characteristics and nature of cyber crimes is important in helping research communities find ways to effectively prevent them. Most existing research focuses more on attacks and attack models, including either actual attacks or imaginary/possible attacks over all layers of networks or computers, but there has been less work carried out on a comprehensive survey of cyber crimes. This paper provides a survey of cyber crimes that have actually occurred. First, cyber crimes in the digital world are compared with crimes in the physical world. Then, cyber crimes are categorized according to the roles of computers or networks. Furthermore, we also notice that some cyber crimes are actually traditionally non-cyber crimes that are facilitated by computers or networks. It is surprising that there are so many recurrent cyber crimes. More efforts are needed to protect people from cyber crimes. Copyright © 2011 John Wiley & Sons, Ltd. 
 
(This paper provides a survey of cyber crimes that have actually occurred. First, cyber crimes in the digital world are compared with crimes in the physical world. Then, cyber crimes are categorized according to the roles of computers or networks.)",Secur. Commun. Networks,4,0.3,10.1002/sec.331,https://doi.org/10.1002/sec.331,,FALSE,,24625a7d609d71190b3e4232b676a5212e4308a8,
35,0.7,Pricing the Cost of Cybercrime—A Financial Protection Approach,2018,10/08/2018,"Thomas Poufinas, Nikolaοs Vordonis","Infrastructures, businesses, end-users and services offered in the digitally integrated environment are exposed to a wide range of risks such as denial of service, hacking, phishing, ransomware, viruses, etc. Consequently, along with their physical life, individuals and organizations have to secure their digital life as well. Digital threats may have a major economic impact both on the individuals and the society, through the direct loss of income and/or property or even an indirect reduction of the individuals’ contribution back to the society and the state. The purpose of this paper is to study the effect of cyber-attacks to the economy, to price the associated cost and to recommend possible measures that internet service providers (ISPs) and policy makers can apply in order to mitigate these risks. In order to achieve that, we employ insurance (actuarial) pricing techniques to calculate the cost of cyber-attacks for an individual and for the economy of a country in total. We are therefore at the same time in place to recommend insurance coverage solutions that can assist in protecting the entity of interest from cyber risks. This resembles to the calculation of a risk premium, as the premium is calculated taking into account only the probability of occurrence of a cyber-attack and the interest rate and not any other loadings. In this context, we mimic the pricing of a policy that provides coverage for the cyber-attack, as well as the calculation of the amount that has to be set aside in order to compensate for the one-off economic loss suffered by the individual, as a result of its occurrence. Here lies our contribution to the scientific research in the field of cyber security insurance, as we employ insurance-based actuarial techniques in order to quantify the relevant loss.",Ibusiness,6,0.9,10.4236/IB.2018.103008,https://doi.org/10.4236/IB.2018.103008,,TRUE,"{'url': 'http://www.scirp.org/journal/PaperDownload.aspx?paperID=86679', 'status': 'GOLD'}",779a567284fc999387a7961368592d2fae037d4e,
36,0.5,Mapping the Geography of Cybercrime: A Review of Indices of Digital Offending by Country,2020,01/09/2020,"Jonathan Lusthaus, M. Bruce, Nigel Phair","The acknowledgement that cybercrime offenders are embedded within local contexts presents a broad vector for further study. But research in this area is still in its early days and many topics need to be developed further. Foremost among these is the geography of cybercrime. This endeavour has an important policy contribution to make. For example, if we can determine which countries are producing cybercrime at more significant levels, preventative measures can be specifically targeted to those countries. The first step within such a research agenda must be the development of an index of cybercriminality by country, as this is foundational to identifying hubs of digital offending and the factors driving the emergence of these hubs. This paper is methodological in its contribution, and does not offer its own empirical findings. Instead, it aims to provide some broad foundational thinking for a very challenging research exercise, and it is intended to support later, more refined, efforts to develop indices. It consists of two components. First, it reviews existing attempts to identify and rank cybercrime hotspots. Second, it draws important lessons from these works towards developing a successful index. Some methodological points are made on what the way forward may be for this emerging field, and how a reliable and valid index on cybercriminality could be crafted.",2020 IEEE European Symposium on Security and Privacy Workshops (EuroS&PW),10,2.2,10.1109/EuroSPW51379.2020.00066,https://doi.org/10.1109/EuroSPW51379.2020.00066,,TRUE,"{'url': 'https://ora.ox.ac.uk/objects/uuid:6dceb4b8-74ff-4dc9-b87f-af2ce29a5462/download_file?safe_filename=WACCO_IEEE_Cybercrime_Hotspots_190620.pdf&file_format=pdf&type_of_work=Conference+item', 'status': 'GOLD'}",f1dff025de327b845c47804199c16a5a766398da,
37,0.4,A literature review of financial losses statistics for cyber security and future trend,2022,30/07/2022,"Md Haris Uddin Sharif, Mehmood Ali Mohammed","Cybercrime directs to any criminal activity taken out utilizing computers or the internet. Attackers have chosen strategies such as social engineering, phishing, and malware as part of their cyber-attacks. A cyber-attack can lead to various effects, ranging from stealing individual data to extortion money or losing helpful information. Society and systems depend on critical infrastructures like power plants, hospitals, and financial services companies. This paper analyzes financial losses statistics for cyber security and future trends. The cost of cybercrime prevention is increasing day by day. Financial losses refer to damages to the wealth of an organization. This includes organizational losses, compensation, and legal fees. By financial loss, we mean increased costs or reduced income caused by the threat. We collect data from various datasets and information from sources. After collecting data, we analyze the data and create a different chart to identify the growth of cyber-attacks, cyber security, and cybercrime costs. We analyze global and worldwide cybercrime status. We also investigate state-wise cybercrime and the cyber security status of the United States of America. Our main objective of the analysis is to find out the financial losses and future trends of cybercrime and cyber security. From our study, we noticed that the number of cybercrimes and their management and prevention costs are rapidly increasing in the USA and worldwide.",World Journal of Advanced Research and Reviews,47,17.6,10.30574/wjarr.2022.15.1.0573,https://doi.org/10.30574/wjarr.2022.15.1.0573,,TRUE,"{'url': 'https://wjarr.com/sites/default/files/WJARR-2022-0573.pdf', 'status': 'GOLD'}",0665102c595c228cf6a64f3ded5df005af38b96b,
38,0.4,"Positive externality, increasing returns, and the rise in cybercrimes",2009,01/12/2009,N. Kshetri,"Introduction The meteoric rise in cybercrime has been an issue of pressing concern to our society. According to Federal Bureau of Investigation (FBI), nine out of 10 U.S. companies experienced computer security incidents in 2005 which led to a loss of $67.2 billion. A survey conducted by IBM found that U.S. businesses worry more about cybercrimes than about physical crimes. Internet-related frauds accounted for 46% of consumer complaints made to the Federal Trade Commission (FTC) in 2005. Total losses of Internet fraud victims reporting to FTC increased from $205 million in 2003 to $336 million in 2005. In a July 2007 interview with USA Today, McAfee CEO reported that his company received 3,000--5,000 threat submissions per day from customers and 10% of them were new. This paper offers an economic analysis to explain cybercrimes' escalation. We define cybercrimes as criminal activities in which computers or computer networks are the principal means of committing an offense. Examples include cyber-theft, cyber-trespass, cyber-obscenity, critical infrastructure attacks and cyber-extortions.6 The most notable features of the cybercrime environment include newness, technology and skill-intensiveness, and a high degree of globalization. Factors such as a wide online availability of hacking tools, information sharing in the cyber-criminal community, availability of experienced hackers' help to less skillful criminals and congestion in law enforcement systems produce externality effects within the cyber-criminal community as well as across society and businesses. We focus on three positive or self-reinforcing feedback systems to examine increasing returns in cybercrime related activities. In this article, we first provide an overview of the positive feedback loops that reinforce cyber-criminals' behavior. Then, we describe mechanisms associated with externality in cybercrime related activities.",Communications of the ACM,63,4.1,10.1145/1610252.1610288,https://doi.org/10.1145/1610252.1610288,,TRUE,"{'url': 'http://libres.uncg.edu/ir/uncg/f/N_Kshetri_Positive_2009.pdf', 'status': 'GOLD'}",e3fa0a34e7ba2d4b3d8089e5490c77e1273b73a7,
39,0.3,The Perpetration and Prevention of Cyber Crime: An Analysis of Cyber Terrorism in India,2012,,"Poonam Kumar, S. Mittal","Cyber crime has become an integral part of the transnational threat landscape and conjures up pressing images of nefarious and increasingly complex online activity. More recently, the concept of 'organized crime' has been attributed to cyber criminality. There has been subsequent disagreement and confusion concerning whether such crime is a derivation of traditional organized crime or an evolution of such crime within the online space. This paper analyses the opaque state of affairs which has been exacerbated by the relative lack of clear evidence attesting to and supporting either scenario. Technological advances have always been used to the advantage of the criminal fraternity. The crucial question that remains is whether those advances have merely facilitated the commission of physical crime or whether in fact they have led to the creation of a new wave of traditional, but virtual, organized crime. The paper also explores the behavioral ramifications on cyber crime on the informational value of the internet and its usage in consumer with demographic analysis level of its threat and increasing crime rate thus eroding the attractiveness of internet as a viable marketing channel.",Int. J. Technoethics,5,0.4,10.4018/jte.2012010104,https://doi.org/10.4018/jte.2012010104,,FALSE,,760236d95f11a1c1a4ec9c9044498e4a1857a195,
40,0.2,Cyber policy for monitoring and regulating cyberspace and cyber security measures for combating technologically enhanced crime in South Africa,2024,11/12/2024,C. Ezeji,"Advancements in science and technology has resulted in substantial transformations inside society. The telecommunications sector has established cyberspace, a virtual domain for online communication, data exchange, and digital interactions. This platform enables individuals to interact and cultivate relationships worldwide, fostering a sense of proximity despite geographical separation. Nonetheless, these improvements provide concerns, since there has been an increase in cyber victimisation via cyberspace, the internet, computer networks, and online systems. Criminals are progressively utilising these technologies to perpetrate illicit actions, endangering individuals, governments, organisations, and institutions.This study analyses the evaluation of cyber policies for regulating, monitoring, and supervising cyberspace activities, along with the implementation of cybersecurity measures to address technologically advanced crime. A mixed methods strategy, including qualitative and quantitative methodologies, was employed for data collecting. The research revealed that although cyberspace provides avenues for social contact, idea exchange, information dissemination, commercial transactions, and additional activities, it remains susceptible to cyber threats including ransomware, fraud, warfare, terrorism, trafficking, and breaches of privacy. Formulating cyber regulations to regulate actions in cyberspace is crucial for efficient law enforcement, alongside the establishment of a cybersecurity framework to safeguard critical cyber systems and bolster security protocols across several sectors. To safeguard both the public and private sectors against cybersecurity risks, it is essential to create and execute plans. These tactics encompass the regular evaluation and auditing of security systems, investment in cybersecurity training programs, maintenance of current systems, formulation and rehearsal of incident response plans, and dissemination of information among experts and professionals.",International Journal of Business Ecosystem &amp; Strategy (2687-2293),0,0,10.36096/ijbes.v6i5.670,https://doi.org/10.36096/ijbes.v6i5.670,,TRUE,"{'url': 'https://doi.org/10.36096/ijbes.v6i5.670', 'status': 'GOLD'}",1cbaae577c4703cbe6c165bb525b421d3f52503b,
41,0.2,Routine Activity Theory and the Determinants of High Cybercrime Countries,2012,01/11/2012,Alex Kigerl,"Cybercrime and the threat it creates are growing in its reach, in accordance with similar growth in information technology. Some countries account for more of the variation in cybercrime activity than others, which affects less criminally involved nations as well, considering that cybercrime does not respect national borders over the Internet. Routine activity theory (RAT) has been used to explain cybercrime at the individual level, but not at the national level. Much research has focused on high cybercrime countries, but this research is often conducted by cybersecurity firms and is exclusively descriptive, making no inferences. This research sought to determine what characteristics predict whether a nation is high in either spamming activity or phishing activity. In a sample of 132 countries, it was found that wealthier nations with more Internet users per capita had higher cybercrime activity. Unemployment was also found to interact with Internet users such that the effect of the proportion of Internet users on spam was strongest in nations with higher unemployment. The implications these findings have for policy and suggestions for future research are discussed.",Social Science Computer Review,105,8.5,10.1177/0894439311422689,https://doi.org/10.1177/0894439311422689,,FALSE,,028163e70ee04b0976bea683874de42623d56d3a,
42,0.2,A Comprehensive Analytical Review on Cybercrime in West Africa,2024,07/01/2024,"Victor A. Adewopo, S. Azumah, M. Yakubu, Emmanuel Kojo Gyamfi, Murat Ozer, Nelly Elsayed","Cybercrime is a growing concern in West Africa due to the increasing use of technology and internet penetration in the region. Legal frameworks are essential for guiding the control of cybercrime. However, the implementation proves challenging for law enforcement agencies due to the absence of a dedicated and effective regional institutional follow-up mechanism. This study conducted a systematic literature review focusing on West Africa's prevalence of cybercrime, governing policies, regulations, and methodologies for combating cybercrime. West-Africa countries face significant cybercrime challenges, exacerbated by inadequate resources and a dearth of security experts. This study pinpoints potential cybercrime prevention strategies, such as leveraging the Triage framework and broadening research to cover pivotal areas like cyber aggression and cyberbullying. Our research findings highlight the urgency for policymakers and law enforcement agencies to devise more efficient prevention strategies and policies. Overall, this study provides invaluable insights into the state of cybercrime in West Africa to guide the formulation of potent prevention and intervention strategies.",ArXiv,0,0,10.48550/arXiv.2402.01649,https://doi.org/10.48550/arXiv.2402.01649,,FALSE,,d531b6f28e137980ab19361a3d885f403cd24a87,
43,0.2,Analysis Of The Effectiveness Of The Criminal Justice System In Dealing With Cybercrime In The Digital Era,2023,12/12/2023,"Fadli Faisal Rasyid, Sitti Harlina, Nurasia Natsir, Sekolah Tinggi, Ilmu Administrasi, Yappi Makassar","This research aims to analyze the criminal justice system's effectiveness in dealing with cybercrime in the digital era. Given the rapid increase in cybercrime, this research explores how the criminal justice system responds to and adapts to these new challenges. Through qualitative and quantitative analysis, this research assesses how the criminal justice system can prevent, detect, and prosecute cybercrime. Factors such as legal policy, law enforcement capabilities, and international cooperation are considered in this assessment. The results of this research are expected to provide valuable recommendations and strategies for enhancing the criminal justice system's effectiveness in dealing with cybercrime and insights into the challenges and opportunities in this digital era.","LITERACY : International Scientific Journals of Social, Education, Humanities",0,0,10.56910/literacy.v2i3.1093,https://doi.org/10.56910/literacy.v2i3.1093,,FALSE,,c249c34e336c9d8970636081653e2ce7ea99b4f8,
44,0.1,Cyber crime: a portrait of the landscape,2019,28/02/2019,"S. Furnell, S. Dowling","
Purpose
The purpose of this paper is to review current evidence in relation to scale and impacts of cyber crime, including various approaches to defining and measuring the problem.


Design/methodology/approach
A review and analysis of survey evidence is used to enable an understanding of the scope and scale of the cyber crime problem, and its effect upon those experiencing it.


Findings
The analysis evidences that cyber crime exists in several dimensions, with costs and harms that can be similarly varied. There is also a sense that, moving forward, the “cyber” label will become somewhat redundant as many crimes have the potential to have a technology component.


Research limitations/implications
The key evidence in this particular discussion has some geographic limitations, with much of the discussion focussed upon data drawn from the Crime Survey for England and Wales, as well as other UK-based sources. However, many of the broader points still remain more widely relevant.


Practical implications
This study helps in: better understanding the range and scale of cyber crime threats; understanding how the cyber element fits into the wider context of crime; improving the appreciation of what cyber crime can mean for potential victims; and recognising the cost dimensions, and the implications for protection and response.


Social implications
The discussion will help businesses and individuals to have a better appreciation of the cyber crime threat, and what ought to be considered in response to it.


Originality/value
The discussion is based upon recent evidence, and therefore represents a more up-to-date view of the cyber crime landscape than reviews already available in earlier literature.
","Journal of Criminological Research, Policy and Practice",11,1.8,10.1108/JCRPP-07-2018-0021,https://doi.org/10.1108/JCRPP-07-2018-0021,,FALSE,,a1ece0aa072a7b89e50325c860dd07920a874994,
45,0.1,Online victimization risk and self-protective strategies: developing police-led cyber fraud prevention programs,2018,20/09/2018,"Jacqueline M. Drew, Lucy C Farrell","ABSTRACT The prevalence and impact of cyber fraud continues to increase exponentially with new and more innovative methods developed by offenders to target and exploit victims for their own financial reward. Traditional crime reaction methods used by police have proved largely ineffective in this context, with offenders typically located outside of the police jurisdiction of their victims. Given this, some police agencies have begun to adopt a victim focused, crime prevention approach to cyber fraud. The current research explores with a sample of two hundred and eighteen potential cyber fraud victims, the relationship between online victimization risk, knowledge and use of crime prevention strategies. The study found those most at risk of cyber fraud victimization despite accurate perceptions of risk and knowledge of self-protective behaviors in the online environment underutilise online prevention strategies. This research has important implications for police agencies who are designing and delivering cyber fraud education. It provides guidance for the development of effective prevention programs based on practical skills development.",Police Practice and Research,23,3.5,10.1080/15614263.2018.1507890,https://doi.org/10.1080/15614263.2018.1507890,,FALSE,,02fd594a26b7325bead4bced90523c1b136fa871,
46,0.1,Future crime,2018,13/11/2018,"Shane D. Johnson, P. Ekblom, G. Laycock, M. Frith, Nissy Sombatruang, Erwin Rosas Valdez","The nature of crime is clearly changing. To illustrate, consider findings from the Crime Survey of England and Wales (ONS, 2016). For the first time, this sweep of the survey included questions about cyber crime. And while it only included questions about a handful of such offences, it suggested that at least half the crimes committed in the recall year, that were included in the survey, involved the misuse of computers. As much cyber crime will go unnoticed, and many types of online offending were not considered in the survey, this is likely to be an underestimate of the scale of offending. While many new forms of offending will be facilitated by the internet, new forms of crime opportunity will not be limited to the kinds of offending we commonly associate with the term cyber crime and it is hence important to think more broadly than this.",Routledge Handbook of Crime Science,4,0.6,10.4324/9780203431405-32,https://doi.org/10.4324/9780203431405-32,,FALSE,,a2bad432e0ae35f09f7588dd756e0b1590d9f048,
47,0.1,Protection against unauthorized access and computer crime in Norwegian enterprises,2008,01/08/2008,"J. Hagen, Tormod Kalberg Sivertsen, Chunming Rong","Computer Crime Surveys are important inputs to management and authorities, providing information on the national IT security status. Such measurement instruments are increasingly valuable as more and more enterprises become critically dependent on IT and the Internet. The article presents a selection of findings from the Norwegian Computer Crime and Security Survey 2006 and discusses strengths and weaknesses of the survey. The survey reveals that next to malware infection and theft of IT equipment, hacking is the most commonly reported computer crime incident. The findings also document that there are large differences in security practices between large and small enterprises, even when it comes to measures one would have thought that all enterprises independent of size would have implemented. This practice may put small enterprises in a position of high risk. This is also worrying in a national context as small enterprises make up the majority of the total number of enterprises. Similar to previous surveys, the 2006 survey shows that the number of reported computer crime incidents is low because of weak detection mechanisms. Finally, a SWOT analysis of the 2006 survey is conducted to review improvements of the survey as a measurement tool.",J. Comput. Secur.,12,0.7,10.3233/jcs-2008-16305,https://doi.org/10.3233/jcs-2008-16305,,FALSE,,4653d00f204daea71e98fd19cc4bc5e7bc67afa8,
48,0.1,Identity crime and misuse in Australia 2023,2023,29/06/2023,"Merran McAlister, Emily Faulconbridge, Isabella Voce, S. Bricknell","This study presents findings from the Australian Cybercrime Survey related to identity crime and misuse. Thirty-one percent of respondents experienced identity crime in their lifetime and 20 percent in the past 12 months. Almost half of identity crime victims reported that suspicious transactions appeared in their bank statements or accounts. The type of personal information most commonly misused was names, followed by credit or debit card information. While one quarter of respondents did not know how their information was obtained, 16 percent believed it to be due to the hacking of a computer or device. Twenty-nine percent of past 12 month victims experienced a financial loss. The median amount initially lost was $300. Nineteen percent of victims had money reimbursed, the median amount being $250.",Journal Not Provided,0,0,10.52922/sb77048,https://doi.org/10.52922/sb77048,,FALSE,,2a786caea007e1c7e18fd660f9d1375f9456d5ef,
49,0.1,Cyber Threats/Attacks and a Defensive Model to Mitigate Cyber Activities,2018,01/04/2018,"Jawad Hussain Awan, S. Memon, S. Memon, K. T. Pathan, N. Arijo","Nowadays, every internet user is part of cyber world. In this way, millions of users, knowledge seekers, and service provider organizations are connected to each other, a vast number of common people shifted their everyday activities to cyber world as they can save their time, traffic problem and gets effective and costless services by using various services such as, online banking, social networking sites, government services and cloud services. The use of Cyber services, eBusiness, eCommerce and eGovernance increases the usage of online/cyber services also increased the issue of cyber security. Recently, various cases have been reported in the literature and media about the cyber-attacks and crimes which seriously disrupted governments, businesses and personal lives. From the literature. It is noticed that every cyber user is unaware about privacy and security practices and measures. Therefore, cyber user has provided knowledge and fully aware them from the online services and also about cyber privacy and security. This paper presents a review on the recent cybercrimes, threats and attacks reported in the literature and media. In addition, the impact of these cyber breaches and cyber law to deal with cyber security has been discussed. At last, a defensive model is also proposed to mitigate cyber-criminal activities.",Mehran University Research Journal of Engineering and Technology,5,0.7,10.22581/MUET1982.1802.12,https://doi.org/10.22581/MUET1982.1802.12,,TRUE,"{'url': 'https://publications.muet.edu.pk/index.php/muetrj/article/download/205/78', 'status': 'GOLD'}",5b0a4f815558b5b6248266edca8a7b614d97191b,
50,0.1,Cyber-Dependent Crimes: An Interdisciplinary Review,2019,13/01/2019,"David Maimon, Eric R. Louderback","Online crime has increased in severity and frequency over the past two decades. However, although several scientific disciplines have commonly employed criminological theories to explain this phenomenon, mainstream criminology has devoted relatively scant attention to the investigation of cyber-criminals and their victims. Drawing on this assumption that more criminological attention should be given to this important type of crime, this article presents an interdisciplinary review of the current state of research on cyber-dependent crimes (i.e., crimes that require the use of computer technology to exist, such as hacking). We begin with a brief discussion of the ecosystem of cyber-dependent crimes and the key actors who operate within it, including the online offenders and enablers, targets and victims, and guardians. Next, we review empirical scholarship that pertains to each actor while distinguishing between nontheoretical research and theoretically driven studies. We then detail methodological and theoretical avenues that should be pursued by future research and discuss why criminological research should lead policy initiatives and guide the design of technical tools that improve the scientific community's ability to generate a safer and more secure cyber-environment. We conclude by discussing potential ways in which cyber-dependent crime research could pave the way for the advancement of mainstream criminological theory and research.",Annual Review of Criminology,105,16.9,10.1146/ANNUREV-CRIMINOL-032317-092057,https://doi.org/10.1146/ANNUREV-CRIMINOL-032317-092057,,FALSE,,bd448c117be194525fac1baab74744b78afe4935,
51,0,"Understanding policing of cybe-rcrime in South Africa: The phenomena, challenges and effective responses",2019,01/01/2019,"S. Dlamini, Candice Mbambo","Abstract Cybercrime continues to be a detrimental problem in South Africa and continues to change in nature and sophistication. Innovations and technological advancements aimed at moving the world towards a digital age increase the risks of cybercrime. Concurrently, as the risk of cybercrime increases so does the challenge to police it. The policing of cybercrime is generally an afterthought for several organisations and individuals in South Africa. This type of crime has no regional, national or international boundaries, unlike “traditional crime” which has physical boundaries and limits in relation to jurisdiction. This contributes towards the challenge of detecting, investigating and combating it. Cyber criminals have intercepted vital and essential government, personal and business information online. Therefore, the primary objective of this paper is to explore the obstacles/challenges that hamper the effective and efficient policing of cybercrime in Durban, South Africa. A qualitative research approach was adopted, to explore the challenges of policing of cybercrime in the study area. The findings collected through semi-structured interviews with a total number of twenty (20) participants comprising of SAPS Directorate for Priority Crime Investigation (DPCI) officials, members of Bowline Security and members of the Durban community; suggest that there is a shortage of SAPS officials who are knowledgeable in handling cybercrime related cases. Policies and strategies to police cybercrime in Durban are insufficient because of the lack of resources, to adequately implement policy and promote cooperative strategic partnerships. Together, these findings suggest that all relevant stakeholder organisations should assist in minimising the challenge of policing of cybercrime.",Cogent Social Sciences,18,2.9,10.1080/23311886.2019.1675404,https://doi.org/10.1080/23311886.2019.1675404,,TRUE,"{'url': 'https://doi.org/10.1080/23311886.2019.1675404', 'status': 'GOLD'}",6c24ae2c885940a8bc7e4eb56a66d6ca4dfcaad3,
52,0,Examining the impact of website take-down on phishing,2007,04/10/2007,"T. Moore, R. Clayton","Banks and other organisations deal with fraudulent phishing websites by pressing hosting service providers to remove the sites from the Internet. Until they are removed, the fraudsters learn the passwords, personal identification numbers (PINs) and other personal details of the users who are fooled into visiting them. We analyse empirical data on phishing website removal times and the number of visitors that the websites attract, and conclude that website removal is part of the answer to phishing, but it is not fast enough to completely mitigate the problem. The removal times have a good fit to a lognormal distribution, but within the general pattern there is ample evidence that some service providers are faster than others at removing sites, and that some brands can get fraudulent sites removed more quickly. We particularly examine a major subset of phishing websites (operated by the 'rock-phish' gang) which accounts for around half of all phishing activity and whose architectural innovations have extended their average lifetime. Finally, we provide a ballpark estimate of the total loss being suffered by the banking sector from the phishing websites we observed.",,221,12.6,10.1145/1299015.1299016,https://doi.org/10.1145/1299015.1299016,,TRUE,"{'url': 'https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.105.7569&rep=rep1&type=pdf', 'status': 'GOLD'}",fd6f3c7822fdb1f8d571c789d6b812fcd1f6e7be,
53,0,Estimating the costs of consumer-facing cybercrime: A tailored instrument and representative data for six EU countries.,2016,,"Markus Riek, Rainer B¨ohme, Michael Ciere, Carlos H. Ga˜n´an, M. V. Eeten",,,18,1.9,,https://www.semanticscholar.org/paper/685e1187c80932f72189bd0d9e9ce0776e34617a,,FALSE,,685e1187c80932f72189bd0d9e9ce0776e34617a,
54,0,Understanding motivations and characteristics of financially-motivated cybercriminals,2022,16/03/2022,"Claudia Peersman, E. Williams, M. Edwards, A. Rashid","Background: Cyber offences, such as hacking, malware creation and distribution, and online fraud, present a substantial threat to organizations attempting to safeguard their data and information. By understanding the evolving characteristics and motivations of individuals involved in these activities, and the threats that they may pose, cyber security practitioners will be better placed to understand and assess current threats to their systems and the range of socio-technical mitigations that may best reduce these. Aim: The reported work-in-progress aims to explore the extent to which findings from prior academic literature regarding the characteristics and motivations of offenders engaging in financially-motivated, cyber-dependent crime are supported by the contemporary experiences and perspectives of practitioners currently working in the cyber crime field. Method: A targeted, online survey was developed consisting of both closed and open-ended questions relating to current cyber threats and the characteristics and motivations of offenders engaged in these activities. Sixteen practitioners working in law enforcement-related domains in the cyber crime field completed the survey, providing a combination of qualitative and quantitative data for analysis.",ArXiv,1,0.3,10.48550/arXiv.2203.08642,https://doi.org/10.48550/arXiv.2203.08642,,TRUE,"{'url': 'http://arxiv.org/pdf/2203.08642', 'status': 'GOLD'}",41056bed5f4ad52518e83f369226df45598ffdd2,
55,0,"CYBERCRIME IN THE DIGITAL ERA: IMPACTS, AWARENESS, AND STRATEGIC SOLUTIONS FOR A SECURE FUTURE",2025,23/01/2025,"Purvi Pandey, Ashwarya Kapoor","Cybercrime has emerged as a critical challenge in the digital age impacting individuals, organizations and governments across the globe. With the rapid expansion of digital technologies and the internet, cybercriminals exploit system vulnerabilities causing significant financial, psychological and reputational damage. This paper explores the multifaceted impacts of cybercrime on society ranging from personal data breaches and identity theft to large-scale corporate and governmental attacks that jeopardize economic stability and national security. It further delves into the awareness levels among individuals and organizations, highlighting the gaps that make them susceptible to cyber threats. The study underscores the pressing need for a comprehensive legal framework tailored to the evolving nature of cybercrime ensuring swift and effective justice delivery. Technological advancements in cybersecurity such as artificial intelligence and machine learning are emphasized as crucial tools to pre-empt and mitigate these threats. Additionally, the paper advocates for widespread educational initiatives to improve digital literacy focusing on preventive measures and safe online practices. The research aims to contribute to a safer digital environment by addressing these dimensions and fostering resilience and trust in the ever-connected global community.",Sachetas,0,0,10.55955/410004,https://doi.org/10.55955/410004,,FALSE,,cd5e0695c761e1b53f7c9b51302c514be708a20c,
56,0,The costs of consumer-facing cybercrime: an empirical exploration of measurement issues and estimates†,2018,,"Markus Riek, Rainer Böhme",,J. Cybersecur.,29,4,10.1093/cybsec/tyy004,https://doi.org/10.1093/cybsec/tyy004,,TRUE,"{'url': 'https://academic.oup.com/cybersecurity/article-pdf/4/1/tyy004/27126927/tyy004.pdf', 'status': 'GOLD'}",c34280f033861e0e7700ee4d7cd82527ae5b04fa,
57,0,Shuffle Up and Deal: Use of a Capture–Recapture Method to Estimate the Size of Stolen Data Markets,2017,29/09/2017,"Mitch Macdonald, Richard Frank","Often overlooked in the measurement of crime is the underlying size of offender populations. This holds true for online property crimes involving the sale, purchase, and use of stolen financial data. Though available data suggests that online frauds are steadily increasing, there are currently no estimates of the scope of this offender population. The current study addresses this issue by using capture–recapture methods to estimate the size of the population participating in stolen data markets over a calendar year. Data analysis involved samples collected from three websites that facilitate financial crimes and frauds. Findings suggest that markets are much larger in size than what can otherwise be observed, are heterogeneous, and that buyers outnumber vendors.",American Behavioral Scientist,5,0.7,10.1177/0002764217734262,https://doi.org/10.1177/0002764217734262,,FALSE,,891967ba6c720f5ba941654a366b99c3400c50e1,
58,0,Frequent occurring forms of internet frauds,2022,,Đorđe Milošević,"The increase in the volume of electronic transactions has led to the need to strengthen data protection against criminal activities in the online environment. The author emphasizes that the perpetrators' goal is of a lucrative nature, might be gotten by disrupting the information system too, as well as offenders can be both individuals and legal persons. The profile of a cybercrime criminal, in general, implies excellent knowledge of digital proceedings, experience of acting in the online environment and active performing of information technology skills. The Internet has become an integral part of today's way of life, which is why the scope of criminal activities in this worldwide network for communication and data exchange is constantly expanding. The author deems this as the reason for the growing need to strengthen information security, which he determines as the practical implementing of measures to protect data from external influences in the online environment. This paper presents a statistical analysis of the Internet frauds' frequency from 2016 to 2020, in order to show the real intensity of this modern kind of criminal threat.",Bastina,0,0,10.5937/bastina32-35814,https://doi.org/10.5937/bastina32-35814,,TRUE,"{'url': 'https://scindeks-clanci.ceon.rs/data/pdf/0353-9008/2022/0353-90082256209M.pdf', 'status': 'GOLD'}",9edb2e6375d5cd4a31995377cb08191f0257c532,
